;dataset                |source                  |source_type         |speaker_name                    |speaker_id|duration_hrs
;
Blaze the Cat           |Sonic the Hedgehog      |Game                |Blaze                           |0         |  0.2703
Clipper_MLP             |My Little Pony          |TV Show             |Pinkie                          |1         |  3.3202
Clipper_MLP             |My Little Pony          |TV Show             |Rainbow                         |2         |  3.3229
Clipper_MLP             |My Little Pony          |TV Show             |Rarity                          |3         |  3.7242
Clipper_MLP             |My Little Pony          |TV Show             |Twilight                        |4         |  5.6303
Clipper_MLP             |My Little Pony          |TV Show             |Sunset Shimmer                  |5         |  0.4290
Clipper_MLP             |My Little Pony          |TV Show             |Applejack                       |6         |  2.8685
Clipper_MLP             |My Little Pony          |TV Show             |Spike                           |7         |  2.2096
Clipper_MLP             |My Little Pony          |TV Show             |Sour Sweet                      |8         |  0.0239
Clipper_MLP             |My Little Pony          |TV Show             |Fluttershy                      |12        |  2.4286
Clipper_MLP             |My Little Pony          |TV Show             |Wallflower                      |13        |  0.0362
Clipper_MLP             |My Little Pony          |TV Show             |Trixie                          |14        |  0.6219
Clipper_MLP             |My Little Pony          |TV Show             |Celestia                        |15        |  0.6521
Clipper_MLP             |My Little Pony          |TV Show             |Luna                            |16        |  0.3610
Clipper_MLP             |My Little Pony          |TV Show             |Maud                            |18        |  0.1815
Clipper_MLP             |My Little Pony          |TV Show             |Flash Sentry                    |19        |  0.0192
Clipper_MLP             |My Little Pony          |TV Show             |Cadance                         |20        |  0.2395
Clipper_MLP             |My Little Pony          |TV Show             |Cinch                           |21        |  0.0807
Clipper_MLP             |My Little Pony          |TV Show             |Shining Armor                   |22        |  0.1931
Clipper_MLP             |My Little Pony          |TV Show             |Gloriosa Daisy                  |25        |  0.0885
Clipper_MLP             |My Little Pony          |TV Show             |Timber Spruce                   |26        |  0.0767
Clipper_MLP             |My Little Pony          |TV Show             |Filthy Rich                     |28        |  0.0615
Clipper_MLP             |My Little Pony          |TV Show             |Juniper Montage                 |31        |  0.0616
Clipper_MLP             |My Little Pony          |TV Show             |Starlight                       |32        |  1.4712
Clipper_MLP             |My Little Pony          |TV Show             |Canter Zoom                     |33        |  0.0322
Clipper_MLP             |My Little Pony          |TV Show             |Vignette                        |35        |  0.1049
Clipper_MLP             |My Little Pony          |TV Show             |Granny Smith                    |36        |  0.4676
Clipper_MLP             |My Little Pony          |TV Show             |Flim                            |37        |  0.0973
Clipper_MLP             |My Little Pony          |TV Show             |Flam                            |38        |  0.1153
Clipper_MLP             |My Little Pony          |TV Show             |Apple Bloom                     |39        |  1.1728
Clipper_MLP             |My Little Pony          |TV Show             |Mayor Mare                      |40        |  0.0585
Clipper_MLP             |My Little Pony          |TV Show             |Nightmare Moon                  |41        |  0.0363
Clipper_MLP             |My Little Pony          |TV Show             |Zecora                          |42        |  0.2236
Clipper_MLP             |My Little Pony          |TV Show             |Big Mac                         |43        |  0.1529
Clipper_MLP             |My Little Pony          |TV Show             |Cheerilee                       |44        |  0.1681
Clipper_MLP             |My Little Pony          |TV Show             |Diamond Tiara                   |45        |  0.1570
Clipper_MLP             |My Little Pony          |TV Show             |Silver Spoon                    |47        |  0.0336
Clipper_MLP             |My Little Pony          |TV Show             |Scootaloo                       |49        |  0.8352
Clipper_MLP             |My Little Pony          |TV Show             |Sweetie Belle                   |50        |  0.7670
